行号,预测,标签
1,图中展示的物品是电池，根据垃圾分类的标准，应该属于可回收物。,"图中展示的物品是纽扣电池,根据垃圾分类的标准，应该属于有害垃圾
"
2,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。","图中展示的物品是指甲油,根据垃圾分类的标准，应该属于有害垃圾
"
3,图中展示的物品是薯条，根据垃圾分类的标准，应该属于可回收物,"图中展示的物品是薯条,根据垃圾分类的标准，应该属于厨余垃圾
"
4,图中展示的物品是{sharpener}，根据垃圾分类的标准，应该属于{recycling},"图中展示的物品是剃须刀片,根据垃圾分类的标准，应该属于可回收物
"
5,图中展示的物品是键盘，根据垃圾分类的标准，应该属于电子废弃物,"图中展示的物品是键盘,根据垃圾分类的标准，应该属于可回收物
"
6,图中展示的物品是{cardboard_box}，根据垃圾分类的标准，应该属于{cardboard},"图中展示的物品是蛋糕盒,根据垃圾分类的标准，应该属于可回收物
"
7,图中展示的物品是蔬菜，根据垃圾分类的标准，应该属于厨余垃圾。,"图中展示的物品是青菜,根据垃圾分类的标准，应该属于厨余垃圾
"
8,图中展示的物品是{garbage_object}，根据垃圾分类的标准，应该属于{garbage_type}厨余垃圾。,"图中展示的物品是普通面包,根据垃圾分类的标准，应该属于厨余垃圾
"
9,图中展示的物品是纸巾盒，根据垃圾分类的标准，应该属于纸类垃圾。,"图中展示的物品是验孕棒,根据垃圾分类的标准，应该属于其他垃圾
"
10,"图中展示的物品是盘子,根据垃圾分类的标准，应该属于可回收垃圾","图中展示的物品是盘子,根据垃圾分类的标准，应该属于可回收物
"
11,图中展示的物品是碗,"图中展示的物品是保鲜盒,根据垃圾分类的标准，应该属于可回收物
"
12,图中展示的物品是遥控器，根据垃圾分类的标准，应该属于电子废弃物。,"图中展示的物品是空调遥控器,根据垃圾分类的标准，应该属于可回收物
"
13,图中展示的物品是蔬菜，根据垃圾分类的标准，应该属于其他垃圾,"图中展示的物品是青菜,根据垃圾分类的标准，应该属于厨余垃圾
"
14,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是耳钉耳环,根据垃圾分类的标准，应该属于可回收物
"
15,图中展示的物品是{bottle}，根据垃圾分类的标准，应该属于{bottle},"图中展示的物品是台历,根据垃圾分类的标准，应该属于可回收物
"
16,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。","图中展示的物品是湿纸巾,根据垃圾分类的标准，应该属于其他垃圾
"
17,图中展示的物品是飞机模型，根据垃圾分类的标准，应该属于废品,"图中展示的物品是木制玩具,根据垃圾分类的标准，应该属于可回收物
"
18,图中展示的物品是棋子，根据垃圾分类的标准，应该属于可回收物,"图中展示的物品是木制玩具,根据垃圾分类的标准，应该属于可回收物
"
19,图中展示的物品是蔬菜，根据垃圾分类的标准，应该属于厨余垃圾。,"图中展示的物品是肠(火腿),根据垃圾分类的标准，应该属于厨余垃圾
"
20,图中展示的物品是{peanut}，根据垃圾分类的标准，应该属于{food},"图中展示的物品是花生皮,根据垃圾分类的标准，应该属于厨余垃圾
"
21,"图中展示的物品是烟蒂,根据垃圾分类的标准，应该属于烟蒂","图中展示的物品是烟蒂,根据垃圾分类的标准，应该属于其他垃圾
"
22,图中展示的物品是[petal]，根据垃圾分类的标准，应该属于[厨余垃圾],"图中展示的物品是糕点,根据垃圾分类的标准，应该属于厨余垃圾
"
23,图中展示的物品是报纸，根据垃圾分类的标准，应该属于{garbage_type}纸张。,"图中展示的物品是报纸,根据垃圾分类的标准，应该属于可回收物
"
24,图中展示的物品是[钟表]，根据垃圾分类的标准，应该属于[废金属],"图中展示的物品是钟表,根据垃圾分类的标准，应该属于可回收物
"
25,图中展示的物品是冰块，根据垃圾分类的标准，应该属于其他垃圾。,"图中展示的物品是果冻,根据垃圾分类的标准，应该属于厨余垃圾
"
26,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是护肤品空瓶,根据垃圾分类的标准，应该属于可回收物
"
27,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是药品包装,根据垃圾分类的标准，应该属于有害垃圾
"
28,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是鞋,根据垃圾分类的标准，应该属于可回收物
"
29,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是钟表,根据垃圾分类的标准，应该属于可回收物
"
30,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是生肉,根据垃圾分类的标准，应该属于厨余垃圾
"
31,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是暖宝宝,根据垃圾分类的标准，应该属于可回收物
"
32,图中展示的物品是[food]，根据垃圾分类的标准，应该属于[厨余垃圾],"图中展示的物品是锅盖,根据垃圾分类的标准，应该属于可回收物
"
33,图中展示的物品是快递单，根据垃圾分类的标准，应该属于{garbage_type}--废弃物品,"图中展示的物品是信封,根据垃圾分类的标准，应该属于可回收物
"
34,图中展示的物品是报纸，根据垃圾分类的标准，应该属于可回收物。,"图中展示的物品是番茄,根据垃圾分类的标准，应该属于厨余垃圾
"
35,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是蛋,根据垃圾分类的标准，应该属于厨余垃圾
"
36,"图中展示的物品是[票],根据垃圾分类的标准，应该属于[垃圾]","图中展示的物品是登机牌,根据垃圾分类的标准，应该属于可回收物
"
37,图中展示的物品是面包，根据垃圾分类的标准，应该属于厨余垃圾。,"图中展示的物品是菠萝包,根据垃圾分类的标准，应该属于厨余垃圾
"
38,电池{garbage_type},"图中展示的物品是电池,根据垃圾分类的标准，应该属于有害垃圾
"
39,图中展示的物品是电源适配器，根据垃圾分类的标准，应该属于电子废弃物,"图中展示的物品是充电宝,根据垃圾分类的标准，应该属于可回收物
"
40,图中展示的物品是望远镜，根据垃圾分类的标准，应该属于不可回收垃圾,"图中展示的物品是望远镜,根据垃圾分类的标准，应该属于可回收物
"
41,图中展示的物品是牛皮纸，根据垃圾分类的标准，应该属于其他垃圾。,"图中展示的物品是档案袋,根据垃圾分类的标准，应该属于可回收物
"
42,图中展示的物品是电路板，根据垃圾分类的标准，应该属于电子垃圾。,"图中展示的物品是电路板,根据垃圾分类的标准，应该属于可回收物
"
43,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。","图中展示的物品是白萝卜,根据垃圾分类的标准，应该属于厨余垃圾
"
44,图中展示的物品是梳子，根据垃圾分类的标准，应该属于废塑料（garbage_type）,"图中展示的物品是木质梳子,根据垃圾分类的标准，应该属于可回收物
"
45,"图中展示的物品是插线板,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是插线板,根据垃圾分类的标准，应该属于可回收物
"
46,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是滴眼液瓶,根据垃圾分类的标准，应该属于有害垃圾
"
47,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是玩偶,根据垃圾分类的标准，应该属于可回收物
"
48,图中展示的物品是纸袋，根据垃圾分类的标准，应该属于可回收物。,"图中展示的物品是购物纸袋,根据垃圾分类的标准，应该属于可回收物
"
49,"图中展示的物品是{radio_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是收音机,根据垃圾分类的标准，应该属于可回收物
"
50,"图中展示的物品是[文具_object],根据垃圾分类的标准，应该属于[废纸类]","图中展示的物品是玩偶,根据垃圾分类的标准，应该属于可回收物
"
51,图中展示的物品是电池，根据垃圾分类的标准，应该属于有害垃圾,"图中展示的物品是电池,根据垃圾分类的标准，应该属于有害垃圾
"
52,图中展示的物品是瓶子，根据垃圾分类的标准，应该属于可回收物。,"图中展示的物品是玻璃器皿,根据垃圾分类的标准，应该属于可回收物
"
53,图中展示的物品是电路板，根据垃圾分类的标准，应该属于电子垃圾。,"图中展示的物品是电路板,根据垃圾分类的标准，应该属于可回收物
"
54,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。","图中展示的物品是手机,根据垃圾分类的标准，应该属于可回收物
"
55,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是玩偶,根据垃圾分类的标准，应该属于可回收物
"
56,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是购物纸袋,根据垃圾分类的标准，应该属于可回收物
"
57,图中展示的物品是[fruit]，根据垃圾分类的标准，应该属于[可回收物],"图中展示的物品是哈密瓜,根据垃圾分类的标准，应该属于厨余垃圾
"
58,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。","图中展示的物品是枕头,根据垃圾分类的标准，应该属于可回收物
"
59,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是台灯,根据垃圾分类的标准，应该属于可回收物
"
60,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是帽子,根据垃圾分类的标准，应该属于可回收物
"
61,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是空调滤芯,根据垃圾分类的标准，应该属于其他垃圾
"
62,图中展示的物品是手表，根据垃圾分类的标准，应该属于垃圾,"图中展示的物品是钟表,根据垃圾分类的标准，应该属于可回收物
"
63,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是拖鞋,根据垃圾分类的标准，应该属于可回收物
"
64,"图中展示的物品是玩具,根据垃圾分类的标准，应该属于玩具垃圾","图中展示的物品是玩偶,根据垃圾分类的标准，应该属于可回收物
"
65,图中展示的物品是{food}，根据垃圾分类的标准，应该属于{food},"图中展示的物品是青菜,根据垃圾分类的标准，应该属于厨余垃圾
"
66,"图中展示的物品是日历,根据垃圾分类的标准，应该属于垃圾","图中展示的物品是台历,根据垃圾分类的标准，应该属于可回收物
"
67,图中展示的物品是钙铁锌硒维生素咀嚼片，根据垃圾分类的标准，应该属于有害垃圾。,"图中展示的物品是保健品瓶,根据垃圾分类的标准，应该属于有害垃圾
"
68,图中展示的物品是墨盒，根据垃圾分类的标准，应该属于有害垃圾。,"图中展示的物品是打印机墨盒,根据垃圾分类的标准，应该属于可回收物
"
69,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是鸡毛掸,根据垃圾分类的标准，应该属于其他垃圾
"
70,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。","图中展示的物品是鸡翅,根据垃圾分类的标准，应该属于厨余垃圾
"
71,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是菠萝包,根据垃圾分类的标准，应该属于厨余垃圾
"
72,图中展示的物品是{pill}，根据垃圾分类的标准，应该属于{garbage_type},"图中展示的物品是药片,根据垃圾分类的标准，应该属于有害垃圾
"
73,图中展示的物品是{car_filter}，根据垃圾分类的标准，应该属于{car_filter},"图中展示的物品是空调滤芯,根据垃圾分类的标准，应该属于其他垃圾
"
74,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是护肤品空瓶,根据垃圾分类的标准，应该属于可回收物
"
75,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是纸巾,根据垃圾分类的标准，应该属于其他垃圾
"
76,图中展示的物品是jar，根据垃圾分类的标准，应该属于可回收垃圾。,"图中展示的物品是罐头瓶,根据垃圾分类的标准，应该属于可回收物
"
77,图中展示的物品是饼干，根据垃圾分类的标准，应该属于厨余垃圾。,"图中展示的物品是糕点,根据垃圾分类的标准，应该属于厨余垃圾
"
78,图中展示的物品是药片，根据垃圾分类的标准，应该属于垃圾,"图中展示的物品是药品包装,根据垃圾分类的标准，应该属于有害垃圾
"
79,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是钟表,根据垃圾分类的标准，应该属于可回收物
"
80,图中展示的物品是{no garbage}，根据垃圾分类的标准，应该属于{no garbage},"图中展示的物品是耳钉耳环,根据垃圾分类的标准，应该属于可回收物
"
81,图中展示的物品是食物，根据垃圾分类的标准，应该属于垃圾食品,"图中展示的物品是蛋挞,根据垃圾分类的标准，应该属于厨余垃圾
"
82,图中展示的物品是麦克风，根据垃圾分类的标准，应该属于可回收垃圾。,"图中展示的物品是话筒,根据垃圾分类的标准，应该属于可回收物
"
83,图中展示的物品是[metal]，根据垃圾分类的标准，应该属于[金属],"图中展示的物品是镊子,根据垃圾分类的标准，应该属于可回收物
"
84,图中展示的物品是{handbag}，根据垃圾分类的标准，应该属于{garbage_type}。,"图中展示的物品是单肩包手提包,根据垃圾分类的标准，应该属于可回收物
"
85,图中展示的物品是{green_peas}，根据垃圾分类的标准，应该属于{vegetable},"图中展示的物品是蚕豆,根据垃圾分类的标准，应该属于厨余垃圾
"
86,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是吹风机,根据垃圾分类的标准，应该属于可回收物
"
87,图中展示的物品是盘子，根据垃圾分类的标准，应该属于厨余垃圾。,"图中展示的物品是盘子,根据垃圾分类的标准，应该属于可回收物
"
88,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是笔及笔芯,根据垃圾分类的标准，应该属于其他垃圾
"
89,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。","图中展示的物品是单肩包手提包,根据垃圾分类的标准，应该属于可回收物
"
90,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是热水瓶,根据垃圾分类的标准，应该属于可回收物
"
91,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是蛋,根据垃圾分类的标准，应该属于厨余垃圾
"
92,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是充电线,根据垃圾分类的标准，应该属于可回收物
"
93,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是暖宝宝,根据垃圾分类的标准，应该属于可回收物
"
94,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是炸鸡,根据垃圾分类的标准，应该属于厨余垃圾
"
95,图中展示的物品是台灯，根据垃圾分类的标准，应该属于可回收垃圾。,"图中展示的物品是台灯,根据垃圾分类的标准，应该属于可回收物
"
96,图中展示的物品是{fruit}，根据垃圾分类的标准，应该属于{vegetable},"图中展示的物品是番茄,根据垃圾分类的标准，应该属于厨余垃圾
"
97,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}其他垃圾。","图中展示的物品是胶带,根据垃圾分类的标准，应该属于其他垃圾
"
98,图中展示的物品是玻璃瓶，根据垃圾分类的标准，应该属于可回收物。,"图中展示的物品是玻璃器皿,根据垃圾分类的标准，应该属于可回收物
"
99,图中展示的物品是杯子，根据垃圾分类的标准，应该属于可回收物。,"图中展示的物品是玻璃壶,根据垃圾分类的标准，应该属于可回收物
"
100,图中展示的物品是南瓜籽，根据垃圾分类的标准，应该属于可回收物,"图中展示的物品是瓜子,根据垃圾分类的标准，应该属于厨余垃圾
"
101,"图中展示的物品是{brush_object},根据垃圾分类的标准，应该属于{trash}","图中展示的物品是鸡毛掸,根据垃圾分类的标准，应该属于其他垃圾
"
102,"图中展示的物品是{pill},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是药片,根据垃圾分类的标准，应该属于有害垃圾
"
103,图中展示的物品是手表，根据垃圾分类的标准，应该属于废金属,"图中展示的物品是钟表,根据垃圾分类的标准，应该属于可回收物
"
104,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是图钉,根据垃圾分类的标准，应该属于其他垃圾
"
105,图中展示的物品是玻璃杯，根据垃圾分类的标准，应该属于玻璃,"图中展示的物品是玻璃壶,根据垃圾分类的标准，应该属于可回收物
"
106,图中展示的物品是纸张，根据垃圾分类的标准，应该属于可回收物。,"图中展示的物品是书,根据垃圾分类的标准，应该属于可回收物
"
107,图中展示的物品是钳子，根据垃圾分类的标准，应该属于金属垃圾,"图中展示的物品是镊子,根据垃圾分类的标准，应该属于可回收物
"
108,图中展示的物品是{glassware}，根据垃圾分类的标准，应该属于{recyclable},"图中展示的物品是碗,根据垃圾分类的标准，应该属于可回收物
"
109,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是残渣剩饭,根据垃圾分类的标准，应该属于厨余垃圾
"
110,图中展示的物品是玻璃瓶，根据垃圾分类的标准，应该属于可回收物,"图中展示的物品是玻璃器皿,根据垃圾分类的标准，应该属于可回收物
"
111,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是木质梳子,根据垃圾分类的标准，应该属于可回收物
"
112,图中展示的物品是杯子，根据垃圾分类的标准，应该属于可回收物,"图中展示的物品是奶茶杯,根据垃圾分类的标准，应该属于其他垃圾
"
113,图中展示的物品是纸盒，根据垃圾分类的标准，应该属于可回收物,"图中展示的物品是纸箱,根据垃圾分类的标准，应该属于可回收物
"
114,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是纸巾,根据垃圾分类的标准，应该属于其他垃圾
"
115,图中展示的物品是{food}，根据垃圾分类的标准，应该属于{food},"图中展示的物品是肠(火腿),根据垃圾分类的标准，应该属于厨余垃圾
"
116,图中展示的物品是尺子，根据垃圾分类的标准，应该属于其他垃圾,"图中展示的物品是尺子,根据垃圾分类的标准，应该属于可回收物
"
117,图中展示的物品是食品，根据垃圾分类的标准，应该属于食品垃圾。,"图中展示的物品是荷包蛋,根据垃圾分类的标准，应该属于厨余垃圾
"
118,图中展示的物品是玻璃杯，根据垃圾分类的标准，应该属于玻璃,"图中展示的物品是量杯,根据垃圾分类的标准，应该属于可回收物
"
119,图中展示的物品是饼干，根据垃圾分类的标准，应该属于可回收垃圾。,"图中展示的物品是饼干,根据垃圾分类的标准，应该属于厨余垃圾
"
120,垃圾物品,"图中展示的物品是烟灰缸,根据垃圾分类的标准，应该属于可回收物
"
121,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是打印机墨盒,根据垃圾分类的标准，应该属于可回收物
"
122,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是餐垫,根据垃圾分类的标准，应该属于可回收物
"
123,图中展示的物品是苹果，根据垃圾分类的标准，应该属于厨余垃圾。,"图中展示的物品是西瓜皮,根据垃圾分类的标准，应该属于厨余垃圾
"
124,"图中展示的物品是[no garbage],根据垃圾分类的标准，应该属于[recyclable]","图中展示的物品是烧水壶,根据垃圾分类的标准，应该属于可回收物
"
125,图中展示的物品是{grass}，根据垃圾分类的标准，应该属于{green},"图中展示的物品是青菜,根据垃圾分类的标准，应该属于厨余垃圾
"
126,"图中展示的物品是[电子垃圾],根据垃圾分类的标准，应该属于[电子垃圾]","图中展示的物品是充电宝,根据垃圾分类的标准，应该属于可回收物
"
127,图中展示的物品是[food]，根据垃圾分类的标准，应该属于[food]。,"图中展示的物品是八宝粥,根据垃圾分类的标准，应该属于厨余垃圾
"
128,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是衣架,根据垃圾分类的标准，应该属于可回收物
"
129,图中展示的物品是牛油，根据垃圾分类的标准，应该属于厨余垃圾。,"图中展示的物品是糕点,根据垃圾分类的标准，应该属于厨余垃圾
"
130,图中展示的物品是果仁，根据垃圾分类的标准，应该属于垃圾食品,"图中展示的物品是蛋,根据垃圾分类的标准，应该属于厨余垃圾
"
131,图中展示的物品是玻璃杯，根据垃圾分类的标准，应该属于玻璃,"图中展示的物品是玻璃器皿,根据垃圾分类的标准，应该属于可回收物
"
132,图中展示的物品是陀螺，根据垃圾分类的标准，应该属于可回收物,"图中展示的物品是呼啦圈,根据垃圾分类的标准，应该属于可回收物
"
133,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是厨房手套,根据垃圾分类的标准，应该属于其他垃圾
"
134,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是尺子,根据垃圾分类的标准，应该属于可回收物
"
135,图中展示的物品是键盘，根据垃圾分类的标准，应该属于可回收物,"图中展示的物品是键盘,根据垃圾分类的标准，应该属于可回收物
"
136,图中展示的物品是洗碗布，根据垃圾分类的标准，应该属于可回收垃圾,"图中展示的物品是百洁布,根据垃圾分类的标准，应该属于其他垃圾
"
137,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是药品包装,根据垃圾分类的标准，应该属于有害垃圾
"
