行号,标签,预测,判定
1,这是其他垃圾_PE塑料袋。,图中的垃圾是几种不同颜色的打包带。,0
2,这是其他垃圾_PE塑料袋。,这是一个双杯袋，通常用于存放饮料或食物。它有一个塑料袋的形状，带有两个杯子的孔，方便在外出时携带饮料。双杯袋通常用于超市或咖啡店等地方，方便顾客取杯子。,1
3,这是其他垃圾_PE塑料袋。,这个垃圾是塑料袋。,1
4,这是其他垃圾_PE塑料袋。,图中没有垃圾，这是一张红色的包装盒图片。,0
5,这是其他垃圾_PE塑料袋。,这是一盒披萨。,0
6,这是其他垃圾_PE塑料袋。,这张图片中的垃圾属于可回收垃圾。垃圾袋上的图案和文字表明这是一个塑料袋，而塑料袋通常可以回收。,0
7,这是其他垃圾_PE塑料袋。,这个垃圾属于塑料袋。,1
8,这是其他垃圾_PE塑料袋。,这个垃圾应该属于其他垃圾。,1
9,这是其他垃圾_PE塑料袋。,这个垃圾属于可回收垃圾。,0
10,这是其他垃圾_PE塑料袋。,图中的垃圾是塑料袋。,1
11,这是其他垃圾_PE塑料袋。,图中的垃圾是塑料袋。,1
12,这是其他垃圾_PE塑料袋。,塑料袋,1
13,这是其他垃圾_PE塑料袋。,这个垃圾属于塑料袋。,1
14,这是其他垃圾_PE塑料袋。,这个垃圾属于塑料袋。,1
15,这是其他垃圾_PE塑料袋。,这是两个塑料袋，上面有英文和中文的标语。塑料袋的设计简洁，具有手柄，适合用于包装物品。,1
16,这是其他垃圾_PE塑料袋。,这个垃圾应该属于可回收垃圾。,0
17,这是其他垃圾_PE塑料袋。,这是打包带，用于打包和固定物品。,0
18,这是其他垃圾_PE塑料袋。,这是一只折叠式水袋，通常用于户外活动或应急情况。袋子上有一些标志和文字，包括“ROYEN”和“1只起印”等信息。这个袋子可以折叠，方便携带和使用。,0
19,这是其他垃圾_PE塑料袋。,这张图片里是蓝色塑料桶。,0
20,这是其他垃圾_PE塑料袋。,这是一张塑料袋的照片。塑料袋里装着一些物品，可能包括衣服或其他垃圾。塑料袋是由聚乙烯制成的，通常用于垃圾收集或运输。,1
21,这是其他垃圾_PE塑料袋。,图中的垃圾是塑料袋。,1
22,这是其他垃圾_PE塑料袋。,图片中的物品属于可回收垃圾。,0
23,这是其他垃圾_PE塑料袋。,图中没有垃圾，是一些橙色的塑料袋。,1
24,这是其他垃圾_PE塑料袋。,这张图片里是一卷蓝色的塑料编织袋。塑料编织袋通常用于包装和运输各种物品。,0
25,这是其他垃圾_PE塑料袋。,这个垃圾应该属于其他垃圾。,1
26,这是其他垃圾_PE塑料袋。,这个垃圾属于厨房垃圾。,0
27,这是其他垃圾_PE塑料袋。,图片中的物品属于可回收垃圾。,0
28,这是其他垃圾_PE塑料袋。,根据图片中的内容，无法确定物品属于什么垃圾类别。,0
29,这是其他垃圾_PE塑料袋。,这张图片里是塑料袋。,1
30,这是其他垃圾_PE塑料袋。,这张图片中的垃圾属于塑料垃圾。塑料垃圾通常由塑料材料制成，包括塑料袋、塑料瓶、塑料膜等。,1
31,这是其他垃圾_PE塑料袋。,图中的垃圾是一卷塑料袋。,1
32,这是其他垃圾_PE塑料袋。,这张图片里没有垃圾。,0
33,这是其他垃圾_PE塑料袋。,图中的垃圾是塑料袋。,1
34,这是其他垃圾_PE塑料袋。,这个垃圾属于餐厨垃圾。,0
35,这是其他垃圾_PE塑料袋。,图片中的物品属于其他垃圾。,1
36,这是其他垃圾_PE塑料袋。,根据图片内容，这个物品属于可回收垃圾。,0
37,这是其他垃圾_U型回形针。,这张图片里是金属垃圾。,0
38,这是其他垃圾_U型回形针。,根据图片中的物品，它们属于不可回收垃圾。,0
39,这是其他垃圾_U型回形针。,这是一个回形针。回形针是一种常用的办公工具，通常由两根细铁丝组成，一根为直立的针，另一根为回形的针，方便整理文件和书籍。,1
40,这是其他垃圾_一次性杯子。,图片中的物品属于其他垃圾。,1
41,这是其他垃圾_一次性杯子。,这张图片中的杯子属于厨余垃圾。,0
42,这是其他垃圾_一次性杯子。,这是一张显示两个透明塑料杯的照片。左边的杯子装满了水，右边的杯子空着。杯子放在一个深色的表面上，背景是黑色的。,1
43,这是其他垃圾_一次性杯子。,这张图片是一个展示纸杯的广告海报。这些纸杯通常用于咖啡店、茶馆、餐厅等场所，用于品尝咖啡、茶等饮品。它们通常具有多种规格和图案，以适应不同的口味和饮品需求。这些纸杯通常由环保材料制成，具有可降解的特点，对环境友好。,1
44,这是其他垃圾_一次性杯子。,这张图片中的垃圾是纸杯。,1
45,这是其他垃圾_一次性杯子。,这张图片里没有垃圾，而是四个一次性纸杯。,0
46,这是其他垃圾_一次性杯子。,这张图片里的垃圾是纸杯。,1
47,这是其他垃圾_一次性杯子。,图片中的物品属于其他垃圾类别。,1
48,这是其他垃圾_一次性杯子。,图片中的物品属于可回收垃圾。,0
49,这是其他垃圾_一次性杯子。,图片中的物品属于其他垃圾类别。,1
50,这是其他垃圾_一次性杯子。,图片中的物品属于其他垃圾类别。,1
51,这是其他垃圾_一次性棉签。,图片中的物品属于其他垃圾类别。,1
52,这是其他垃圾_一次性棉签。,根据图片描述，这些物品属于医疗垃圾。,0
53,这是其他垃圾_一次性棉签。,这个垃圾属于可回收物。,0
54,这是其他垃圾_一次性棉签。,这个垃圾应该属于有害垃圾。,0
55,这是其他垃圾_一次性棉签。,图中的垃圾是卫生纸。,0
56,这是其他垃圾_一次性棉签。,图中的垃圾是一包棉签。,1
57,这是其他垃圾_一次性棉签。,图中的垃圾是一次性使用医用棉签。,1
58,这是其他垃圾_一次性棉签。,图片中的物品属于其他垃圾。,1
59,这是其他垃圾_一次性棉签。,这张图片里的物品是塑料棉签，属于塑料垃圾。,0
60,这是其他垃圾_一次性棉签。,这张图片中的垃圾属于医疗废物。医疗废物是指在医疗卫生机构或其周围环境中产生的具有直接或间接传染性、危害健康的废物。医疗废物需要按照规定进行分类、收集、运输和处理，以防止污染环境和危害人体健康。,0
61,这是其他垃圾_一次性棉签。,图中的垃圾是棉签。,1
62,这是其他垃圾_一次性棉签。,根据图片内容，物品属于不可回收垃圾。,0
63,这是其他垃圾_一次性棉签。,这个垃圾属于有害垃圾。,0
64,这是其他垃圾_一次性棉签。,这个垃圾属于塑料垃圾。,0
65,这是其他垃圾_一次性棉签。,这张图片里的垃圾是“一次性卫生用品”。,0
66,这是其他垃圾_一次性棉签。,这张图片里是餐巾纸。餐巾纸是一种常见的厨房用纸，通常用于擦手、擦脸、擦嘴等。,0
67,这是其他垃圾_一次性棉签。,这张图片里的垃圾是塑料包装袋。塑料包装袋是一种塑料制品，通常用于包装食品、药品或其他物品。塑料包装袋是由塑料制成的，具有耐用性和可回收性，但长期使用可能导致环境问题。,0
68,这是其他垃圾_一次性棉签。,这个垃圾应该属于“其他垃圾”。,1
69,这是其他垃圾_一次性棉签。,这是一组棉花签（耳棒）的图片。每个棉花签都是独立包装的，可以单独使用。包装上有“高级棉签 500”字样，表示这些棉花签是由高品质的棉花制成的。此外，图片还显示了两盒装，每盒有1000支棉花签。,1
70,这是其他垃圾_一次性棉签。,这个垃圾属于其他垃圾。,1
71,这是其他垃圾_一次性棉签。,图片中的物品属于医疗废物。,0
72,这是其他垃圾_一次性棉签。,这张图片里包含的垃圾是塑料制品。,0
73,这是其他垃圾_一次性棉签。,这是一次性使用换药盒，通常用于医院或诊所等医疗场所，用于药箱的补充和更换药物。,0
74,这是其他垃圾_一次性棉签。,图中的垃圾是塑料包装袋。,0
75,这是其他垃圾_一次性棉签。,根据图中的描述，图片中的物品属于有害垃圾。,0
