Epoch	Train Loss	Train Accuracy	Valid Loss	Valid Accuracy
1	3.3076	33.4307	1.9201	55.4180
2	1.6763	60.6480	1.3672	65.3251
3	1.2746	68.3611	1.1618	69.4014
4	1.0642	72.8429	1.0516	72.3770
5	0.9294	75.6682	0.9745	74.6130
6	0.8286	78.1712	0.9307	74.9570
7	0.7472	80.3433	0.8952	76.0234
8	0.6838	81.6754	0.8768	76.4706
9	0.6296	82.9881	0.8444	77.4338
10	0.5803	84.3116	0.8458	77.4338
11	0.5342	85.3816	0.8344	78.0874
12	0.4895	86.6965	0.8217	77.9842
13	0.4590	87.5236	0.8215	78.5002
14	0.4229	88.3830	0.8288	78.4142
15	0.3931	89.2553	0.8263	78.4142
16	0.3692	89.8010	0.8404	78.3110
17	0.3394	90.6175	0.8295	78.3454
18	0.3251	90.9505	0.8334	78.8098
19	0.3002	91.6531	0.8379	79.1022
20	0.2826	92.2611	0.8503	78.7410
21	0.2614	92.7445	0.8550	78.9130
22	0.2466	93.1806	0.8682	78.2250
23	0.2310	93.5932	0.8779	78.5002
24	0.2184	94.1260	0.8635	79.2914
25	0.2078	94.3752	0.8857	78.9646
26	0.1924	94.8071	0.8797	79.0678
27	0.1807	94.9983	0.8950	78.7582
28	0.1718	95.3313	0.9002	79.4118
29	0.1639	95.5096	0.9105	78.5690
30	0.1532	95.8921	0.9070	78.7238
31	0.1445	96.1542	0.9218	78.9646
32	0.1365	96.3540	0.9445	78.6206
33	0.1323	96.4528	0.9429	78.4830
34	0.1255	96.6806	0.9560	78.5346
35	0.1193	96.8567	0.9558	78.9646
36	0.1134	97.0050	0.9487	78.6378
37	0.1091	97.1274	0.9515	79.1882
38	0.1038	97.3036	0.9648	78.3282
39	0.1012	97.2757	0.9768	78.8614
40	0.0982	97.4218	0.9874	78.8614
41	0.0932	97.5958	0.9689	79.0850
42	0.0883	97.7398	0.9819	79.0678
43	0.0823	97.8472	0.9841	78.8270
44	0.0812	97.9052	1.0035	78.6206
45	0.0801	97.8988	0.9931	78.7926
46	0.0766	98.0040	1.0020	78.7926
47	0.0747	98.1029	1.0214	78.8270
48	0.0720	98.1867	1.0166	78.9474
49	0.0662	98.3263	1.0051	78.9990
50	0.0676	98.2232	1.0357	78.7754
51	0.0645	98.3757	1.0242	79.0162
52	0.0620	98.3972	1.0359	78.5174
53	0.0586	98.5669	1.0239	79.0678
54	0.0609	98.5046	1.0230	79.0334
55	0.0587	98.4810	1.0472	78.7754
56	0.0547	98.6013	1.0351	78.6378
57	0.0512	98.7195	1.0447	79.2054
58	0.0532	98.6916	1.0430	78.7410
59	0.0523	98.6615	1.0411	79.1194
60	0.0487	98.7754	1.0426	79.0162
61	0.0474	98.7925	1.0476	78.8958
62	0.0455	98.9429	1.0411	79.0850
63	0.0460	98.8720	1.0337	79.0334
64	0.0447	98.8355	1.0391	79.2398
65	0.0426	98.9666	1.0498	79.0678
66	0.0412	99.0310	1.0567	78.8614
67	0.0420	99.0031	1.0463	79.2226
68	0.0416	99.0289	1.0369	79.2398
69	0.0413	99.0074	1.0529	78.9130
70	0.0392	99.0804	1.0500	79.3086
71	0.0402	99.0160	1.0580	78.8958
72	0.0375	99.1041	1.0531	79.2226
73	0.0392	99.0675	1.0478	79.1882
74	0.0379	99.1406	1.0548	79.0678
75	0.0363	99.1234	1.0563	78.9474
76	0.0359	99.1148	1.0527	79.1366
77	0.0360	99.1427	1.0600	79.0678
78	0.0343	99.1943	1.0513	79.2570
79	0.0330	99.2072	1.0550	79.1710
80	0.0345	99.1707	1.0640	79.1366
81	0.0344	99.1836	1.0630	78.9302
82	0.0335	99.1750	1.0643	78.9474
83	0.0305	99.3211	1.0572	78.9646
84	0.0332	99.1836	1.0623	78.8958
85	0.0325	99.1986	1.0610	79.0334
86	0.0309	99.2953	1.0577	79.0506
87	0.0315	99.2308	1.0586	78.9302
88	0.0326	99.2330	1.0606	78.8786
89	0.0318	99.2373	1.0587	79.0850
90	0.0322	99.2480	1.0666	79.0162
91	0.0317	99.2416	1.0554	78.7582
92	0.0315	99.2888	1.0529	78.9646
93	0.0316	99.2609	1.0640	78.8958
94	0.0302	99.3340	1.0575	79.1366
95	0.0304	99.3318	1.0622	78.8442
96	0.0314	99.2695	1.0587	79.0506
97	0.0316	99.2760	1.0567	79.0506
98	0.0323	99.2394	1.0598	78.9474
99	0.0314	99.2652	1.0628	79.0850
100	0.0316	99.2738	1.0574	78.9990
