Epoch	Train Loss	Train Accuracy	Valid Loss	Valid Accuracy
1	2.6012	53.9425	2.0498	67.1139
2	1.9973	68.6490	1.9495	70.6054
3	1.8346	73.3199	1.8980	74.1658
4	1.7324	76.5061	1.8325	74.9570
5	1.6529	78.7362	1.8426	74.9914
6	1.5944	80.3261	1.7964	75.8170
7	1.5330	82.2985	1.8030	76.6598
8	1.4972	83.4522	1.7529	77.5886
9	1.4537	84.6747	1.7518	78.2422
10	1.4162	85.8027	1.7782	77.9498
11	1.3886	86.8125	1.7890	77.5370
12	1.3626	87.5322	1.7850	78.0358
13	1.3305	88.6151	1.7478	79.3086
14	1.3102	89.2295	1.7273	78.8786
15	1.2912	89.8419	1.7384	78.5518
16	1.2720	90.4198	1.7299	78.6550
17	1.2547	90.8689	1.7101	79.3430
18	1.2360	91.6036	1.7092	79.4634
19	1.2299	91.6702	1.7775	78.5518
20	1.2116	92.2718	1.7242	79.7558
21	1.2012	92.6478	1.6839	80.1514
22	1.1884	92.9099	1.6927	80.2718
23	1.1729	93.4148	1.7007	80.0482
24	1.1604	93.6920	1.6826	80.0138
25	1.1546	93.9820	1.6956	79.7902
26	1.1445	94.1926	1.6867	80.6330
27	1.1365	94.4783	1.6715	80.5814
28	1.1304	94.6846	1.6678	80.6502
29	1.1233	94.9059	1.7011	79.7214
30	1.1139	95.1100	1.6918	80.0310
31	1.1052	95.3141	1.6862	79.3774
32	1.0920	95.6751	1.6535	80.5298
33	1.0873	95.8212	1.6768	79.8934
34	1.0828	95.8491	1.6870	80.5470
35	1.0787	95.9522	1.6579	80.3578
36	1.0738	96.0661	1.6773	80.7190
37	1.0683	96.1606	1.6437	80.9942
38	1.0579	96.5366	1.6348	80.9942
39	1.0503	96.6784	1.6363	81.3553
40	1.0496	96.7880	1.6567	80.7534
41	1.0461	96.7579	1.6459	81.1318
42	1.0428	96.8460	1.6376	81.4757
43	1.0310	97.1253	1.6497	80.8222
44	1.0288	97.1189	1.6480	80.6502
45	1.0241	97.2693	1.6500	80.5298
46	1.0216	97.3036	1.6375	81.3381
47	1.0134	97.5614	1.6307	81.2350
48	1.0073	97.6345	1.6483	80.8566
49	1.0091	97.6023	1.6202	81.5617
50	1.0021	97.7935	1.6061	82.0605
51	0.9964	97.8794	1.6155	81.3209
52	0.9974	97.8579	1.6044	81.7853
53	0.9942	97.8880	1.6087	81.7165
54	0.9897	97.9568	1.6100	81.6649
55	0.9861	98.1458	1.5978	81.8369
56	0.9797	98.2253	1.6080	81.4757
57	0.9792	98.2447	1.5990	82.2325
58	0.9765	98.3177	1.5897	82.0949
59	0.9699	98.4574	1.5919	82.3013
60	0.9692	98.3843	1.5989	81.9573
61	0.9653	98.5455	1.6015	81.8369
62	0.9631	98.5068	1.5983	81.7853
63	0.9598	98.6529	1.5743	82.2497
64	0.9592	98.5949	1.5937	82.0605
65	0.9568	98.6529	1.5747	82.1981
66	0.9536	98.7302	1.5753	82.4389
67	0.9493	98.8076	1.5798	82.4389
68	0.9493	98.7646	1.5764	82.2153
69	0.9476	98.7668	1.5649	82.5765
70	0.9421	98.9322	1.5663	82.5937
71	0.9447	98.8119	1.5663	82.5765
72	0.9411	98.9666	1.5755	82.6797
73	0.9396	98.9494	1.5846	82.1637
74	0.9374	98.9644	1.5793	82.3357
75	0.9375	99.0117	1.5841	82.2841
76	0.9337	99.0611	1.5739	82.4905
77	0.9316	99.1621	1.5721	82.5249
78	0.9301	99.1406	1.5622	82.8173
79	0.9300	99.1384	1.5646	82.9721
80	0.9287	99.1384	1.5577	82.6969
81	0.9264	99.2330	1.5524	82.9205
82	0.9249	99.2158	1.5554	82.6453
83	0.9264	99.1342	1.5551	82.6281
84	0.9242	99.2029	1.5554	82.9033
85	0.9241	99.2717	1.5543	83.0065
86	0.9215	99.2738	1.5557	83.0237
87	0.9217	99.2803	1.5549	82.9377
88	0.9210	99.2738	1.5537	82.8173
89	0.9207	99.2738	1.5534	82.9033
90	0.9220	99.2179	1.5516	82.6109
91	0.9199	99.2974	1.5514	82.9033
92	0.9187	99.3426	1.5510	82.9033
93	0.9182	99.2824	1.5521	82.9721
94	0.9198	99.2480	1.5511	82.9033
95	0.9168	99.3984	1.5479	82.9549
96	0.9179	99.3275	1.5498	83.0237
97	0.9168	99.3748	1.5520	82.6969
98	0.9168	99.3683	1.5501	82.7829
99	0.9163	99.3683	1.5484	82.9893
100	0.9163	99.4027	1.5506	82.9549
