Epoch	Train Loss	Train Accuracy	Valid Loss	Valid Accuracy
1	3.6796	31.0521	2.2785	55.5556
2	1.7979	61.7491	1.4565	67.4407
3	1.2818	70.5181	1.1679	72.0846
4	1.0604	74.4117	1.0348	74.6990
5	0.9376	76.8419	0.9573	75.9374
6	0.8551	78.6411	0.9110	76.7630
7	0.7974	80.0338	0.8819	77.5026
8	0.7578	80.8403	0.8624	77.8810
9	0.7360	81.4607	0.8505	77.8982
10	0.7199	81.8672	0.8419	78.0530
11	0.7269	81.1634	0.8197	78.2938
12	0.6635	82.7807	0.7834	79.5150
13	0.6059	83.7819	0.7611	79.8590
14	0.5585	85.2045	0.7416	80.1686
15	0.5206	86.2656	0.7247	80.5642
16	0.4814	87.2668	0.7102	81.1834
17	0.4486	88.1076	0.7097	81.0974
18	0.4170	88.9034	0.6984	81.2350
19	0.3906	89.6479	0.6999	80.9770
20	0.3680	90.3838	0.6975	81.4585
21	0.3479	90.8309	0.6806	81.8885
22	0.3280	91.2395	0.6832	81.9745
23	0.3130	91.7743	0.6872	81.5101
24	0.3001	92.0525	0.6808	81.7853
25	0.2926	92.3691	0.6826	81.6649
26	0.2810	92.7306	0.6767	82.1121
27	0.2698	92.9959	0.6802	81.7853
28	0.2677	93.0644	0.6788	81.7853
29	0.2645	93.2462	0.6829	82.0949
30	0.2577	93.3874	0.6836	81.9745
31	0.2944	92.0845	0.6937	81.7337
32	0.2728	92.8162	0.7004	81.9401
33	0.2591	93.0537	0.7082	81.6993
34	0.2325	93.7939	0.7067	81.6821
35	0.2154	94.1875	0.7392	80.9598
36	0.2023	94.5105	0.7081	81.8025
37	0.1891	95.0218	0.7145	82.0605
38	0.1730	95.4283	0.7112	82.1981
39	0.1661	95.6358	0.7104	82.6969
40	0.1532	95.9161	0.7331	81.8541
41	0.1412	96.3118	0.7275	82.4561
42	0.1340	96.4937	0.7234	82.3701
43	0.1262	96.7589	0.7297	82.5249
44	0.1200	96.8124	0.7408	82.3873
45	0.1108	97.1483	0.7392	82.5421
46	0.1003	97.5205	0.7522	82.5937
47	0.1034	97.3601	0.7472	82.5249
48	0.0950	97.6018	0.7572	82.3701
49	0.0869	97.8650	0.7627	82.5765
50	0.0852	97.8757	0.7641	82.5593
51	0.0802	98.0383	0.7553	82.8517
52	0.0767	98.1153	0.7638	82.6969
53	0.0733	98.2265	0.7798	82.5765
54	0.0717	98.1730	0.7844	82.2153
55	0.0698	98.3164	0.7790	82.5937
56	0.0675	98.4084	0.7726	82.5765
57	0.0602	98.5774	0.7781	82.5765
58	0.0599	98.6522	0.7925	82.4905
59	0.0602	98.5046	0.7843	82.6625
60	0.0585	98.5923	0.7822	82.5593
61	0.0562	98.6779	0.8016	82.5077
62	0.0560	98.6565	0.7814	82.7829
63	0.0526	98.7292	0.7785	82.8689
64	0.0530	98.7378	0.7851	82.6625
65	0.0492	98.8426	0.7907	82.6625
66	0.0520	98.7357	0.7819	82.9205
67	0.0498	98.8255	0.7840	83.0409
68	0.0502	98.7934	0.7888	82.6797
69	0.0485	98.8255	0.7848	82.8861
70	0.0522	98.7528	0.7890	82.8861
71	0.0733	98.1088	0.8193	81.8885
72	0.0794	97.9035	0.8275	81.9745
73	0.0767	97.9398	0.8160	82.4217
74	0.0701	98.1409	0.8305	82.3357
75	0.0685	98.1794	0.8252	82.3701
76	0.0642	98.3271	0.8802	81.3553
77	0.0607	98.4105	0.8334	82.5249
78	0.0601	98.4255	0.8399	82.3357
79	0.0570	98.4982	0.8401	81.9057
80	0.0546	98.5003	0.8618	81.9057
81	0.0528	98.5795	0.8529	82.0605
