Epoch	Train Loss	Train Accuracy	Valid Loss	Valid Accuracy
1	1.9326	58.4267	0.9971	74.2862
2	0.8517	77.4880	0.7996	78.1734
3	0.6421	82.5539	0.7294	80.0138
4	0.5064	85.9747	0.7035	80.4438
5	0.4023	88.7365	0.6938	81.5445
6	0.3234	90.8844	0.6766	82.1809
7	0.2648	92.4076	0.6974	82.2841
8	0.2151	93.8944	0.6917	82.7829
9	0.1762	95.0710	0.7023	82.3529
10	0.1454	96.0038	0.7159	82.7485
11	0.1220	96.6370	0.7319	82.8517
12	0.1066	97.1162	0.7435	82.8173
13	0.0908	97.5462	0.7446	82.9549
14	0.0788	97.8714	0.7387	83.2817
15	0.0685	98.2436	0.7524	82.9377
16	0.0608	98.4233	0.7549	83.0409
17	0.0538	98.5859	0.7596	83.2473
18	0.0454	98.8704	0.7637	83.3849
19	0.0397	99.0608	0.7731	83.2645
20	0.0390	99.0309	0.7628	83.5741
21	0.0358	99.1100	0.7610	83.8837
22	0.0338	99.2106	0.7564	83.6085
23	0.0325	99.1699	0.7581	83.8321
24	0.0301	99.2833	0.7632	83.6773
25	0.0297	99.2876	0.7644	83.8493
26	0.1492	95.5395	0.8808	80.2890
27	0.1564	95.2358	0.8955	80.8566
28	0.1191	96.4038	0.8714	81.1834
29	0.0995	96.9665	0.8899	81.4069
30	0.0903	97.3344	0.8846	81.5617
31	0.0768	97.7730	0.9122	81.4929
32	0.0669	98.0596	0.8953	81.7337
33	0.0628	98.1837	0.9264	81.5101
34	0.0534	98.4469	0.8893	82.1465
35	0.0451	98.7057	0.9128	82.1637
36	0.0383	98.8918	0.9177	82.2153
