Epoch	Train Loss	Train Accuracy	Valid Loss	Valid Accuracy
1	1.8821	55.9879	1.1505	68.6963
2	0.9870	73.4233	0.9868	73.3574
3	0.7947	77.7447	0.9601	74.7850
4	0.6584	81.1334	0.9884	74.4582
5	0.5801	83.1508	0.9692	76.7458
6	0.4992	85.4762	1.0246	75.4386
7	0.4385	87.0893	0.9540	77.3134
8	0.3891	88.3322	1.0579	77.0554
9	0.3510	89.4339	1.0033	77.5198
10	0.3120	90.4694	1.0956	77.2962
11	0.2828	91.3893	1.0430	77.9842
12	0.2559	92.1209	1.1469	76.9006
13	0.2439	92.5787	1.1139	77.3650
14	0.2200	93.1499	1.1438	77.4682
15	0.2108	93.5735	1.1447	77.0898
16	0.1942	93.9843	1.2258	77.0382
17	0.1865	94.1533	1.2248	77.5026
18	0.1681	94.8421	1.1825	77.9326
19	0.1766	94.7180	1.2383	77.3650
20	0.1508	95.3598	1.1968	78.2422
21	0.1479	95.4176	1.1924	79.0162
22	0.1355	95.8155	1.2488	77.7950
23	0.1350	95.8455	1.2291	78.2078
24	0.1321	96.0679	1.2623	77.7090
25	0.1267	96.2263	1.2485	78.1734
26	0.1141	96.6306	1.2615	78.2938
27	0.1139	96.5578	1.2392	78.3970
28	0.1091	96.6691	1.2714	78.5690
29	0.1035	96.7846	1.2492	77.5198
30	0.1008	96.9772	1.2377	78.3282
31	0.0889	97.3130	1.2595	78.6894
32	0.0937	97.1697	1.2522	78.9990
33	0.0915	97.2788	1.2730	77.7434
34	0.0839	97.5312	1.2006	78.9302
35	0.0807	97.6275	1.2825	77.7950
36	0.0757	97.7580	1.2038	79.0850
37	0.0773	97.6660	1.3116	77.9498
38	0.0725	97.9356	1.2269	79.0678
39	0.0703	97.9741	1.2800	78.4486
40	0.0637	98.1559	1.2229	79.3258
41	0.0591	98.2886	1.1925	79.0678
42	0.0587	98.3356	1.2018	78.6034
43	0.0564	98.3656	1.2248	78.6206
44	0.0568	98.3741	1.1994	79.4634
45	0.0505	98.5560	1.2637	78.9130
46	0.0515	98.4982	1.2821	78.4486
47	0.0471	98.7057	1.1700	79.8074
48	0.0459	98.6929	1.1833	80.1686
49	0.0460	98.7357	1.1990	78.9130
50	0.0444	98.7036	1.2173	79.6182
51	0.0428	98.8448	1.1844	79.3430
52	0.0394	98.8790	1.1656	79.7042
53	0.0359	99.0181	1.1728	79.1538
54	0.0349	99.0972	1.1747	79.7558
55	0.0363	98.9603	1.1710	79.6526
56	0.0338	99.0694	1.1650	79.6698
57	0.0287	99.2555	1.1553	80.3406
58	0.0288	99.2512	1.1479	80.1170
59	0.0279	99.2384	1.1255	80.1342
60	0.0264	99.3176	1.1338	80.5298
61	0.0266	99.2833	1.0948	80.2546
62	0.0241	99.3625	1.1081	80.3406
63	0.0217	99.4095	1.1022	80.6674
64	0.0202	99.5572	1.1084	80.6330
65	0.0203	99.4759	1.0745	80.3062
66	0.0199	99.4973	1.0473	80.7878
67	0.0209	99.5165	1.0545	80.5470
68	0.0183	99.5165	1.0808	80.5642
69	0.0185	99.5679	1.0317	81.0458
70	0.0171	99.5850	1.0237	80.8050
71	0.0175	99.5978	1.0304	80.5986
72	0.0152	99.6620	1.0091	80.8222
73	0.0134	99.7198	0.9874	81.5445
74	0.0137	99.6770	1.0036	80.8394
75	0.0140	99.6812	0.9881	80.7018
76	0.0119	99.7390	1.0001	80.8222
77	0.0121	99.7326	0.9696	81.5445
78	0.0118	99.7454	0.9966	81.1662
79	0.0104	99.7711	0.9736	81.0802
80	0.0112	99.7754	0.9745	81.1662
81	0.0108	99.7583	0.9741	81.4413
82	0.0107	99.7668	0.9666	81.4413
83	0.0096	99.8117	0.9616	81.3897
84	0.0091	99.7989	0.9486	81.4585
85	0.0102	99.7882	0.9620	81.2350
86	0.0092	99.8053	0.9678	81.3725
87	0.0095	99.7968	0.9541	81.3037
88	0.0090	99.8010	0.9577	81.3209
89	0.0093	99.7882	0.9534	81.5789
90	0.0098	99.7690	0.9515	81.2521
91	0.0085	99.8203	0.9428	81.4413
92	0.0082	99.8438	0.9374	81.3725
93	0.0080	99.8353	0.9434	81.5273
94	0.0079	99.8353	0.9409	81.4585
95	0.0075	99.8631	0.9406	81.3897
96	0.0077	99.8417	0.9370	81.5101
97	0.0075	99.8374	0.9342	81.4585
98	0.0075	99.8438	0.9347	81.5961
99	0.0076	99.8417	0.9364	81.4241
100	0.0078	99.8481	0.9326	81.5617
