Epoch	Train Loss	Train Accuracy	Valid Loss	Valid Accuracy
1	3.7107	32.9634	2.1967	63.0375
2	3.2967	42.0657	1.9686	69.7454
3	3.0844	47.1211	1.9393	71.4482
4	3.0766	47.2509	1.8721	72.4630
5	3.0698	46.7527	1.8775	73.1510
6	2.9017	51.0955	1.8151	73.8906
7	2.8786	51.5840	1.8328	73.4606
8	2.8060	53.1774	1.7847	75.3354
9	2.8382	52.0747	1.7918	75.4042
10	2.7687	53.8626	1.7859	76.7802
11	2.7315	54.7899	1.7196	77.4338
12	2.7205	55.1040	1.7366	76.4878
13	2.6841	56.0067	1.7661	76.1266
14	2.6845	55.8696	1.7505	75.7998
15	2.6404	56.9185	1.7379	76.8834
16	2.5953	58.0621	1.7061	78.0358
17	2.6686	55.7391	1.6980	77.5542
18	2.6095	57.4332	1.7002	78.5346
19	2.5796	58.1373	1.7292	77.4338
20	2.5516	58.6565	1.7351	77.9154
21	2.5593	58.3387	1.6904	79.0850
22	2.5365	58.7192	1.7081	78.7926
23	2.4944	60.1476	1.6762	79.1538
24	2.5029	59.5703	1.6543	79.7558
25	2.5162	59.1364	1.6802	78.8270
26	2.4926	59.6826	1.6522	79.2570
27	2.4623	60.2285	1.6510	79.7558
28	2.4357	60.9701	1.6664	80.4094
29	2.4107	61.6739	1.6351	79.4290
30	2.5100	58.4710	1.6898	79.6010
31	2.3818	62.5335	1.6119	80.3578
32	2.4089	61.4422	1.6536	79.6182
33	2.3780	62.0130	1.6513	80.3234
34	2.3778	62.4977	1.6290	80.7534
35	2.4456	59.8696	1.6581	79.5322
36	2.3535	62.8543	1.6167	80.7706
37	2.3363	63.4468	1.6397	80.3750
38	2.3551	62.6697	1.6587	79.8934
39	2.2997	63.9654	1.6577	79.8934
40	2.3682	61.6935	1.6804	80.2718
41	2.3200	63.0229	1.6374	80.7878
42	2.2943	63.8336	1.6112	81.0630
43	2.2793	64.2827	1.6513	80.3406
44	2.2706	64.3873	1.6334	80.6846
45	2.2719	64.3627	1.6316	80.8910
46	2.2545	65.0534	1.6104	80.9426
47	2.2638	64.4196	1.6145	80.8738
48	2.2288	65.1095	1.6290	81.0630
49	2.2597	64.1340	1.6275	80.5642
50	2.2124	65.7080	1.6253	80.9254
51	2.2038	65.9358	1.5995	81.4413
52	2.2379	64.8712	1.6010	81.1318
53	2.2015	65.8147	1.6295	81.2350
54	2.1969	65.7883	1.6314	80.6846
55	2.1774	66.2354	1.6237	81.5789
56	2.1876	65.6272	1.6060	81.6821
57	2.1715	65.9754	1.6061	81.6133
58	2.1391	67.0823	1.6175	81.5617
59	2.1936	65.1323	1.5914	81.9573
60	2.1534	66.2634	1.6307	81.5961
61	2.1456	66.5949	1.5861	81.6305
62	2.1538	66.3259	1.6241	81.2178
63	2.1548	65.8838	1.5890	82.0949
64	2.1627	65.6573	1.5965	81.8885
65	2.1267	66.6619	1.5928	81.8025
66	2.0993	67.6757	1.5771	82.5249
67	2.1002	67.6320	1.5917	82.1293
68	2.0945	67.9092	1.5865	81.7509
69	2.0730	68.5254	1.5820	82.0949
70	2.0697	68.2824	1.5850	81.8885
71	2.0767	67.9563	1.5988	81.7509
72	2.0262	69.9139	1.5771	82.4733
73	2.1509	65.1095	1.6108	81.9745
74	2.0873	66.8611	1.5937	82.1121
75	2.1161	66.0440	1.5949	82.0433
76	2.0452	68.9057	1.6150	81.7509
77	2.0527	68.4285	1.5965	82.0949
78	2.0430	68.5541	1.5902	82.4217
79	2.0384	68.8156	1.5763	82.3529
80	2.0525	68.2693	1.6171	81.9745
81	2.0272	68.9782	1.5830	82.3873
82	2.0760	67.1631	1.5812	82.2841
83	2.0719	67.2492	1.5823	82.2669
84	2.0380	68.3922	1.5941	82.1121
85	2.0703	67.2535	1.5952	82.5249
86	2.0672	67.3598	1.6118	82.0949
87	2.0454	68.1416	1.5788	82.5421
88	2.0702	67.0314	1.6103	82.1637
89	2.0689	67.1226	1.5957	82.4045
90	2.0344	68.0868	1.5886	82.5937
91	2.0006	69.7094	1.5744	82.6969
92	2.0537	67.8258	1.6120	82.2325
93	2.0593	67.1772	1.5899	82.4733
94	2.0149	68.9959	1.5929	82.1809
95	2.0524	67.2999	1.5801	82.5421
96	2.0032	69.2942	1.5986	82.4045
97	1.9975	69.3120	1.5689	82.6625
98	2.0031	69.3629	1.5895	82.2497
99	2.0089	68.8998	1.5784	82.6453
100	2.0114	69.1107	1.5677	82.6453
