Epoch	Train Loss	Train Accuracy	Valid Loss	Valid Accuracy
1	2.6985	43.9707	1.3714	63.6739
2	1.6741	63.6904	1.1204	70.8462
3	1.7128	64.1687	1.1700	72.0846
4	1.5813	66.4712	1.0990	72.7382
5	1.4926	68.3617	0.9750	75.0946
6	1.2562	73.5219	0.9405	75.7654
7	1.3490	72.3318	0.8937	76.8834
8	1.1848	75.8314	0.8896	77.0038
9	1.1593	76.3546	0.9351	76.0750
10	1.1242	77.5360	0.8938	77.4682
11	1.1549	76.2406	0.9584	76.3502
12	1.0153	79.6205	0.9212	77.2790
13	1.0954	78.1413	0.9210	77.1758
14	0.9587	81.7530	0.9062	77.4166
15	1.1503	78.1853	0.8817	78.5002
16	0.8861	83.5792	0.8522	79.2914
17	0.9495	82.5216	0.9154	77.9154
18	0.8456	83.9933	0.8767	78.5862
19	0.9585	81.9135	0.8768	78.5862
20	0.9798	81.6605	0.8657	79.2914
21	0.9771	81.9359	0.8656	79.3086
22	1.0816	79.7268	0.9090	78.1390
23	0.9694	82.0723	0.9225	78.9646
24	1.0318	81.0999	0.9075	78.5518
25	0.9225	82.9349	0.9050	78.4486
26	0.8475	84.0066	0.8748	79.3774
27	0.8298	84.9172	0.9055	78.8786
28	0.9001	82.9800	0.9028	78.8958
29	0.9176	83.2437	0.8919	78.9474
30	0.7270	86.7504	0.8689	79.6870
31	0.8318	84.3792	0.8914	79.1710
32	0.7797	85.7060	0.8460	80.1170
33	0.6973	87.1440	0.8755	79.3774
34	0.7517	86.5908	0.8581	80.0138
35	0.7761	86.6972	0.9009	79.1710
36	0.7015	87.9052	0.8781	79.7042
37	0.9559	82.4056	0.9152	79.0162
38	1.0378	80.7010	0.9148	79.5150
39	0.8348	84.7309	0.8919	79.3430
40	0.6772	87.8447	0.8495	80.0826
41	0.9314	83.0485	0.9274	79.0678
42	0.9181	83.2357	0.8890	79.3946
43	0.8320	84.7520	0.8635	80.4266
44	0.5925	89.4536	0.8491	79.9966
45	0.7457	86.9664	0.8516	80.2718
46	0.8719	84.5132	0.8704	79.6870
47	0.9336	82.3134	0.9151	79.3602
48	0.7183	86.9407	0.8558	80.2718
49	0.9387	82.0053	0.8651	79.9106
50	0.6573	88.5289	0.8272	80.2202
51	0.8556	83.8893	0.8530	80.1686
52	0.6790	87.8038	0.8651	80.1858
53	0.8623	83.7260	0.8219	80.4610
54	0.7543	86.6726	0.8512	80.4954
55	0.5737	89.8752	0.8187	80.3750
56	0.6604	88.4640	0.8175	80.7018
57	0.7263	86.4358	0.8339	80.8050
58	0.6898	87.8212	0.8609	80.4438
59	0.6751	87.7762	0.8351	80.7190
60	0.7050	86.7907	0.8186	80.7190
61	0.7398	86.8509	0.8226	80.9942
62	0.7795	85.0891	0.8549	80.2546
63	0.6986	86.9138	0.8280	80.9770
64	0.8441	84.2079	0.8784	80.4954
65	0.7470	86.2288	0.8297	81.2350
66	0.7574	86.2512	0.8326	80.5470
67	0.6880	87.0801	0.8378	80.6674
68	0.6867	87.7717	0.8632	80.6158
69	0.6836	87.2949	0.8174	81.1146
70	0.6057	89.3287	0.8463	80.9254
71	0.6276	88.4528	0.8229	81.2178
72	0.6720	87.7715	0.8438	81.0974
73	0.7279	86.6258	0.8187	81.2693
74	0.7577	85.9054	0.8146	81.1834
75	0.7727	84.9040	0.8034	81.4241
76	0.7418	86.7152	0.8107	81.4241
77	0.6567	87.8027	0.8124	81.0802
78	0.7642	85.2734	0.8192	81.2865
79	0.6113	88.5681	0.8116	81.2693
80	0.5989	88.2880	0.8127	81.0802
81	0.5481	90.3477	0.7961	81.3381
82	0.6305	88.7464	0.8333	81.2006
83	0.5910	89.6442	0.8044	81.2006
84	0.6409	88.6410	0.8133	81.1490
85	0.5921	89.1294	0.7870	81.6993
86	0.6942	87.0558	0.8295	81.3209
87	0.7018	86.5471	0.7993	81.3037
88	0.5898	89.6460	0.7962	81.3381
89	0.5767	89.5959	0.8022	81.6133
90	0.5684	89.4139	0.7900	81.3897
91	0.6859	87.1304	0.7917	81.5101
92	0.6758	86.8177	0.8383	81.2006
93	0.7307	86.2899	0.8135	81.2865
94	0.6307	88.0420	0.7883	81.5789
95	0.6611	87.7741	0.7880	81.5273
96	0.6901	86.9793	0.7880	81.4929
97	0.5747	89.1861	0.7821	81.5445
98	0.8036	84.6475	0.8016	81.5789
99	0.5710	89.8548	0.8119	81.3897
100	0.7502	85.3505	0.8001	81.5789
